COMUNIDADES AUTÓNOMAS,CAMIONES Y FURGONETAS,AUTOBUSES,TURISMOS,MOTOCICLETAS,TRACTORES INDUSTRIALES,REMOLQUES Y SEMIRREMOLQUES,OTROS VEHICULOS,TOTAL,AÑO
Andalucía,74854,1110,342190,40738,5369,0,18357,482618,2007
Aragón,16293,383,59659,5204,1049,0,6729,89317,2007
Asturias,10319,199,50921,3930,657,0,2966,68992,2007
Illes Ballears,11325,115,82994,6399,80,0,1056,101969,2007
Canarias,29607,236,97820,9829,361,0,2782,140635,2007
Cantabria,4760,62,25056,2587,506,0,1377,34348,2007
Castilla-La Mancha,21212,357,68603,6819,1855,0,9995,108841,2007
Castilla y León,21169,403,93003,6977,1919,0,11506,134977,2007
Cataluña,95768,705,448140,55359,3382,0,16975,620329,2007
Extremadura,8286,124,30230,3024,699,0,3578,45941,2007
Galicia,19462,549,116216,9754,1530,0,7615,155126,2007
Madrid,133782,1139,614759,26961,2469,0,9456,788566,2007
R. Murcia,14087,238,63595,7259,2264,0,3940,91383,2007
C.F. Navarra,8288,88,29809,2402,992,0,3769,45348,2007
La Rioja,4104,33,12794,1066,277,0,1603,19877,2007
C. Valenciana,60115,449,294470,26583,4299,0,10962,396878,2007
País Vasco,20300,431,89676,9150,1156,0,4149,124862,2007
Ceuta y Melilla,1488,2,7647,1072,1,0,131,10341,2007
TOTAL GENERAL,555219,6623,2527582,225113,28865,0,116946,3460348,2007
Andalucía,68049,1111,300278,40268,4308,0,10791,424805,2008
Aragón,15626,166,50685,5118,1105,0,3018,75718,2008
Asturias (Principado de),9233,220,44651,3924,538,0,1857,60423,2008
Balears (Illes),9450,197,68566,5954,63,0,633,84863,2008
Canarias,26497,256,85779,9608,256,0,2152,124548,2008
Cantabria,4516,85,21380,2576,422,0,935,29914,2008
Castilla y León,18541,334,81216,7037,1649,0,4265,113042,2008
Castilla-La Mancha,18940,375,61876,6881,1667,0,3923,93662,2008
Cataluña,86930,647,375820,53773,2807,0,12360,532337,2008
Comunitat Valenciana,52689,338,253334,25501,3805,0,8231,343898,2008
Extremadura,7418,177,26863,3023,580,0,1634,39695,2008
Galicia,17568,375,100017,9845,1250,0,3680,132735,2008
Madrid (Comunidad de),128718,1265,578913,26609,2751,0,9058,747314,2008
Murcia (Región de),12481,197,51784,6488,1856,0,2725,75531,2008
Navarra (Comunidad Foral de),7719,58,26321,2386,713,0,2181,39378,2008
País Vasco,18224,383,82288,9305,988,0,3247,114435,2008
Rioja (La),3620,39,10350,986,284,0,534,15813,2008
Ceuta y Melilla,1531,9,7582,1019,0,0,111,10252,2008
TOTAL GENERAL,507750,6232,2227703,220301,25042,0,71335,3058363,2008
Andalucía,66270,847,280903,40491,3648,4132,5333,401624,2009
Aragón,15950,165,49182,5202,1214,1160,1092,73965,2009
Asturias (Principado de),8751,170,44354,4122,354,751,997,59499,2009
Balears (Illes),8454,139,60424,6185,150,200,342,75894,2009
Canarias,25028,155,79004,9334,208,511,1408,115648,2009
Cantabria,4055,89,20256,2581,452,398,447,28278,2009
Castilla y León,18231,288,82401,7381,1397,1767,2157,113622,2009
Castilla-La Mancha,17273,285,57058,7025,1746,1647,1915,86949,2009
Cataluña,84594,554,351174,53784,2799,5194,6778,504877,2009
Comunitat Valenciana,51148,385,216977,24754,3943,4159,3394,304760,2009
Extremadura,7031,166,26333,3018,609,623,776,38556,2009
Galicia,16382,383,98651,9939,1238,1398,2001,129992,2009
Madrid (Comunidad de),140452,861,582204,26463,1972,2415,6091,760458,2009
Murcia (Región de),12494,259,49107,6677,2185,1694,742,73158,2009
Navarra (Comunidad Foral de),6705,223,24858,2365,706,862,781,36500,2009
País Vasco,16138,318,78755,9225,1069,1476,2059,109040,2009
Rioja (La),3135,29,10292,1004,232,301,285,15278,2009
Ceuta y Melilla,1560,3,7208,1038,2,8,104,9923,2009
TOTAL GENERAL,503651,5319,2119141,220588,23924,28696,36702,2938021,2009
Andalucía,65677,815,265694,40621,4596,4534,5625,387562,2010
Aragón,19914,142,51504,5090,1050,1282,1173,80155,2010
Asturias (Principado de),8818,125,42292,4059,479,797,1020,57590,2010
Balears (Illes),9203,273,59933,6372,156,213,343,76493,2010
Canarias,26922,231,81066,9564,239,666,1495,120183,2010
Cantabria,4117,56,20666,2717,588,494,454,29092,2010
Castilla y León,19351,416,81031,7253,1661,2208,2188,114108,2010
Castilla-La Mancha,18558,295,56588,7080,1707,1739,1878,87845,2010
Cataluña,88635,718,359707,54452,3435,5472,6489,518908,2010
Comunitat Valenciana,54300,370,214247,25116,4485,4062,3163,305743,2010
Extremadura,7562,141,25725,3103,552,556,905,38544,2010
Galicia,17645,361,98494,9793,1715,1776,2060,131844,2010
Madrid (Comunidad de),157090,1231,599406,26070,2297,2616,4922,793632,2010
Murcia (Región de),13263,209,49863,6649,2601,1620,883,75088,2010
Navarra (Comunidad Foral de),7201,73,25603,2436,879,956,749,37897,2010
País Vasco,18167,313,80163,9233,1100,1554,1731,112261,2010
Rioja (La),3539,26,10375,1099,294,342,541,16216,2010
Ceuta y Melilla,1663,4,6857,1110,2,14,117,9767,2010
TOTAL,541625,5799,2129214,221817,27836,30901,35736,2992928,2010
Andalucía,61087,651,250632,43324,5037,4919,6067,371717,2011
Aragón,26345,133,53418,5285,1112,1476,1174,88943,2011
Asturias (Principado de),8681,117,41004,4338,523,811,1017,56491,2011
Balears (Illes),8901,200,58776,7282,92,339,382,75972,2011
Canarias,28780,223,82884,9907,266,624,1555,124239,2011
Cantabria,4183,67,20112,2807,607,543,521,28840,2011
Castilla y León,18043,354,74862,7868,1881,2398,2330,107736,2011
Castilla-La Mancha,17564,321,51936,7391,1945,1851,1975,82983,2011
Cataluña,92973,757,362918,55524,3762,6179,6708,528821,2011
Comunitat Valenciana,51369,340,211192,26105,4534,4314,3366,301220,2011
Extremadura,7213,131,23377,3249,580,660,900,36110,2011
Galicia,16943,306,89511,10200,1526,1566,2203,122255,2011
Madrid (Comunidad de),144553,1295,595419,27930,2301,2748,4636,778882,2011
Murcia (Región de),12835,209,47001,6852,2332,1574,834,71637,2011
Navarra (Comunidad Foral de),6788,63,22587,2469,940,1239,780,34866,2011
País Vasco,16560,371,73467,9820,1001,1601,1769,104589,2011
Rioja (La),3449,11,10074,1135,266,381,359,15675,2011
Ceuta y Melilla,1606,3,6864,1082,3,10,90,9658,2011
TOTAL,527873,5552,2076034,232568,28708,33233,36666,2940634,2011
Andalucía,61301,494,247222,42178,4773,5014,5841,366823,2012
Aragón,22589,94,49635,5177,1305,1454,1663,81917,2012
Asturias (Principado de),8477,117,39089,4083,641,1022,993,54422,2012
Balears (Illes),9237,285,60797,7509,135,409,445,78817,2012
Canarias,26243,358,76607,9526,231,594,1558,115117,2012
Cantabria,4224,45,19543,2631,553,451,491,27938,2012
Castilla y León,18097,268,71651,7266,2001,2222,2555,104060,2012
Castilla-La Mancha,17932,279,52578,7046,1793,1946,2079,83653,2012
Cataluña,87378,528,348253,55607,3692,5932,6374,507764,2012
Comunitat Valenciana,51543,244,212985,25365,5107,4373,3450,303067,2012
Extremadura,7120,81,22624,3021,667,793,871,35177,2012
Galicia,17054,309,87750,9184,1747,1754,2371,120169,2012
Madrid (Comunidad de),137409,1103,602200,26754,2685,2804,4958,777913,2012
Murcia (Región de),12877,168,46886,6656,2958,1849,977,72371,2012
Navarra (Comunidad Foral de),6868,82,23217,2219,895,1229,765,35275,2012
País Vasco,16439,301,71926,9043,1083,1447,1638,101877,2012
Rioja (La),3494,25,10013,991,274,339,423,15559,2012
Ceuta y Melilla,1625,8,6871,1182,7,7,103,9803,2012
TOTAL,509907,4789,2049847,225438,30547,33639,37555,2891722,2012
Andalucía,64980,727,251381,47326,5033,5438,6748,381633,2013
Aragón,17257,464,46099,5763,1283,1502,1391,73759,2013
Asturias (Principado de),8919,179,40546,4431,591,957,1043,56666,2013
Balears (Illes),9693,288,63297,8625,116,411,450,82880,2013
Canarias,25826,261,79012,10516,275,651,1525,118066,2013
Cantabria,4541,72,20484,2997,668,662,585,30009,2013
Castilla y León,19339,280,74088,8069,1964,2617,2579,108936,2013
Castilla-La Mancha,19071,275,57533,8066,1903,1982,2500,91330,2013
Cataluña,85561,538,348684,62211,3852,6579,7719,515144,2013
Comunitat Valenciana,52966,351,221495,28328,5122,5105,3640,317007,2013
Extremadura,7833,112,23977,3322,617,788,1080,37729,2013
Galicia,18252,339,92487,9955,1602,2017,2350,127002,2013
Madrid (Comunidad de),137406,1382,617155,29791,2628,2690,7504,798556,2013
Murcia (Región de),13828,194,48888,7698,3153,1858,1030,76649,2013
Navarra (Comunidad Foral de),7549,60,25398,2655,879,1267,857,38665,2013
País Vasco,17453,381,76170,9802,1103,1598,1788,108295,2013
Rioja (La),3640,21,10259,1134,427,318,377,16176,2013
Ceuta y Melilla,1552,1,6354,1179,0,16,104,9206,2013
TOTAL,515666,5925,2103307,251868,31216,36456,43270,2987708,2013
Andalucía,63971,635,263940,51422,5194,5847,6668,397677,2014
Aragón,15077,141,47874,6183,1197,1466,1398,73336,2014
Asturias (Principado de),9216,121,42985,5008,576,986,1061,59953,2014
Balears (Illes),7930,355,55416,8569,85,330,379,73064,2014
Canarias,26807,256,86069,11222,248,603,1614,126819,2014
Cantabria,4487,48,22073,3198,712,649,533,31700,2014
Castilla y León,19174,321,78423,8838,2165,2560,2690,114171,2014
Castilla-La Mancha,18669,270,61677,8880,1767,2031,2424,95718,2014
Cataluña,87306,595,368249,69177,3626,6683,6859,542495,2014
Comunitat Valenciana,51183,312,232750,31192,4724,4528,3377,328066,2014
Extremadura,7833,75,25221,3671,542,731,985,39058,2014
Galicia,18369,400,98725,10857,1667,2147,2601,134766,2014
Madrid (Comunidad de),136286,1210,637393,33284,2775,2515,4463,817926,2014
Murcia (Región de),13492,215,51228,8440,3434,2351,947,80107,2014
Navarra (Comunidad Foral de),7290,57,26078,2991,1188,1412,905,39921,2014
País Vasco,17881,624,80540,11324,1141,1701,1881,115092,2014
Rioja (La),3481,29,10386,1304,338,380,334,16252,2014
Ceuta y Melilla,1577,1,6340,1452,2,11,88,9471,2014
Total,510029,5665,2195367,277012,31381,36931,39207,3095592,2014
Andalucía,63557,894,264979,54828,5497,5909,6753,402417,2015
Aragón,14769,166,47879,6778,1339,1632,1296,73859,2015
Asturias (Principado de),8879,180,43144,5321,559,989,1041,60113,2015
Balears (Illes),8935,381,63965,9357,118,343,428,83527,2015
Canarias,26394,218,91244,12226,232,661,1864,132839,2015
Cantabria,4413,70,22258,3578,808,628,594,32349,2015
Castilla y León,18039,287,75945,9274,1893,2553,2133,110124,2015
Castilla-La Mancha,18758,282,68764,9637,1883,2018,1940,103282,2015
Cataluña,87518,778,383552,74178,3631,7071,6854,563582,2015
Comunitat Valenciana,50283,311,240399,33053,5206,4970,3087,337309,2015
Extremadura,7393,93,24294,3923,517,816,1003,38039,2015
Galicia,17743,465,95164,11864,1559,1994,2066,130855,2015
Madrid (Comunidad de),148137,1126,683894,35963,3666,2942,4363,880091,2015
Murcia (Región de),13202,246,51532,9144,3743,2468,888,81223,2015
Navarra (Comunidad Foral de),6874,106,24201,3072,1261,1374,808,37696,2015
País Vasco,16511,608,77279,11785,1289,1853,1864,111189,2015
Rioja (La),3162,55,9457,1369,382,274,260,14959,2015
Ceuta y Melilla,1750,1,6517,1551,0,9,106,9934,2015
Total,516317,6267,2274467,296901,33583,38504,37348,3203387,2015
Andalucía,64911,868,290393,59009,6169,5901,6453,433704,2016
Aragón,15580,156,51304,7240,1492,2026,1343,79141,2016
Asturias (Principado de),8967,194,46971,5252,670,990,1016,64060,2016
Balears (Illes),10095,357,79604,9993,171,296,636,101152,2016
Canarias,28617,238,99290,13494,243,615,1878,144375,2016
Cantabria,4590,54,24699,3664,858,725,551,35141,2016
Castilla y León,18317,335,82021,9812,2125,2549,2222,117381,2016
Castilla-La Mancha,19240,345,79379,10116,2098,2151,1950,115279,2016
Cataluña,91161,613,415259,78267,4005,7160,6716,603181,2016
Comunitat Valenciana,50273,319,272084,35376,5161,5060,3012,371285,2016
Extremadura,7193,107,26287,4138,593,726,1010,40054,2016
Galicia,18200,414,103832,12376,2001,2148,2060,141031,2016
Madrid (Comunidad de),154546,1322,745473,37362,4193,2790,4202,949888,2016
Murcia (Región de),13292,174,55871,9572,4077,2447,886,86319,2016
Navarra (Comunidad Foral de),6799,94,26297,3139,1086,1258,823,39496,2016
País Vasco,16747,397,83001,12192,1217,2193,1999,117746,2016
Rioja (La),3338,70,10465,1453,456,309,335,16426,2016
Ceuta y Melilla,1789,3,6991,1693,3,10,91,10580,2016
Total,533655,6060,2499221,314148,36618,39354,37183,3466239,2016
Andalucía,66137,714,328373,61742,5528,5444,6394,474332,2017
Aragón,15399,163,58047,7430,1429,2134,1254,85856,2017
Asturias (Principado de),8833,124,51305,5551,566,916,1001,68296,2017
Balears (Illes),10849,352,96909,11013,100,343,384,119950,2017
Canarias,30783,246,114126,14231,246,765,2197,162594,2017
Cantabria,4544,40,27130,3630,855,1049,509,37757,2017
Castilla y León,18042,332,89401,9881,1992,2793,2252,124693,2017
Castilla-La Mancha,20355,349,96183,10542,1990,2097,1944,133460,2017
Cataluña,92870,578,455827,78790,4088,7035,6625,645813,2017
Comunitat Valenciana,49696,354,313152,36388,4399,4589,3024,411602,2017
Extremadura,7254,106,30466,4309,677,738,916,44466,2017
Galicia,17998,436,114037,12847,1565,2068,2125,151076,2017
Madrid (Comunidad de),148746,1250,806256,42654,4102,2528,4173,1009709,2017
Murcia (Región de),13527,144,63689,9838,3853,2256,951,94258,2017
Navarra (Comunidad Foral de),7244,89,29887,3154,1145,1494,888,43901,2017
País Vasco,17317,527,95611,12346,1370,2158,1944,131273,2017
Rioja (La),3343,37,11818,1526,508,315,289,17836,2017
Ceuta y Melilla,1892,3,7294,1807,2,15,124,11137,2017
Total,534829,5844,2789511,327679,34415,38737,36994,3768009,2017
Andalucía,67255,685,348720,61003,5677,5504,6487,495331,2018
Aragón,15697,212,58971,7165,1433,2300,1269,87047,2018
Asturias (Principado de),8438,115,52481,5443,542,911,837,68767,2018
Balears (Illes),10913,300,113859,10564,55,295,358,136344,2018
Canarias,31701,235,126254,14431,235,686,1905,175447,2018
Cantabria,4461,24,27581,3639,729,687,478,37599,2018
Castilla y León,18344,262,92273,9961,2387,3687,2230,129144,2018
Castilla-La Mancha,21939,275,106256,10293,2089,1914,1923,144689,2018
Cataluña,101160,760,503519,80782,3860,7301,7027,704409,2018
Comunitat Valenciana,50048,287,334335,35996,4631,4776,3479,433552,2018
Extremadura,7654,94,31699,4224,521,825,894,45911,2018
Galicia,17991,357,120127,12288,1708,2069,2147,156687,2018
Madrid (Comunidad de),151680,1109,842816,41218,6204,2771,4467,1050265,2018
Murcia (Región de),13712,147,66768,9879,4457,2528,1009,98500,2018
Navarra (Comunidad Foral de),7481,87,30473,3250,1231,1390,872,44784,2018
País Vasco,17349,334,98350,12407,1299,1770,1959,133468,2018
Rioja (La),3329,43,12217,1553,475,306,312,18235,2018
Ceuta y Melilla,1875,1,6984,1813,4,12,137,10826,2018
Total,551027,5327,2973683,325909,37537,39732,37790,3971005,2018
Andalucía,64353,624,347805,64190,6325,5742,6812,495851,2019
Aragón,15205,120,58061,7570,1576,2306,1553,86391,2019
Asturias (Principado de),8214,134,51526,5859,515,916,1065,68229,2019
Balears (Illes),11966,331,120114,11094,61,228,453,144247,2019
Canarias,33371,229,129602,15463,179,685,2113,181642,2019
Cantabria,4516,32,26890,3821,761,593,535,37148,2019
Castilla y León,18146,378,90938,10322,2253,2418,2335,126790,2019
Castilla-La Mancha,24559,303,114959,10961,2040,1854,1908,156584,2019
Cataluña,96141,576,499988,86896,3394,7259,7596,701850,2019
Comunitat Valenciana,49089,277,345813,37361,4375,5330,3489,445734,2019
Extremadura,7365,99,31334,4399,589,749,860,45395,2019
Galicia,17340,310,117621,12593,1714,1959,2431,153968,2019
Madrid (Comunidad de),158262,1110,866019,46267,5254,2278,4668,1083858,2019
Murcia (Región de),12713,133,66638,10167,4041,2101,1011,96804,2019
Navarra (Comunidad Foral de),7503,89,30723,3378,1294,1403,889,45279,2019
País Vasco,17442,448,96775,12878,1297,1725,2272,132837,2019
Rioja (La),3316,32,12389,1588,327,308,440,18400,2019
Ceuta y Melilla,1742,1,6955,2011,1,2,93,10805,2019
Total,551243,5226,3014150,346818,35996,37856,40523,4031812,2019
